timestamp,agent_id,event_type,tool,call_count,reason,checkpoint,risk_score,decision
2026-02-27T13:23:42.800474,aml-monitor,ALLOWED,scan_transaction,1,,,,allowed
2026-02-27T13:23:42.800532,aml-velocity,ALLOWED,check_daily_velocity,1,,,,allowed
2026-02-27T13:23:42.800575,aml-screener,ALLOWED,screen_ofac,1,,,,allowed
2026-02-27T13:23:42.801056,aml-screener,ALLOWED,screen_country,2,,,,allowed
2026-02-27T13:23:42.801064,aml-screener,CHECKPOINT,,2,,cp-aml-screener-2,,checkpoint
2026-02-27T13:23:42.801104,aml-screener,ALLOWED,screen_pep,3,,,,allowed
2026-02-27T13:23:42.801208,aml-monitor,ALLOWED,scan_transaction,2,,,,allowed
2026-02-27T13:23:42.801269,aml-monitor,ALLOWED,flag_structuring,3,,,,allowed
2026-02-27T13:23:42.801277,aml-monitor,CHECKPOINT,,3,,cp-aml-monitor-3,,checkpoint
2026-02-27T13:23:42.801319,aml-velocity,ALLOWED,check_daily_velocity,2,,,,allowed
2026-02-27T13:23:42.801351,aml-screener,ALLOWED,screen_ofac,4,,,,allowed
2026-02-27T13:23:42.801358,aml-screener,CHECKPOINT,,4,,cp-aml-screener-4,,checkpoint
2026-02-27T13:23:42.801747,aml-screener,ALLOWED,screen_country,5,,,,allowed
2026-02-27T13:23:42.801776,aml-screener,ALLOWED,screen_pep,6,,,,allowed
2026-02-27T13:23:42.801782,aml-screener,CHECKPOINT,,6,,cp-aml-screener-6,,checkpoint
2026-02-27T13:23:42.801826,aml-filer,ALLOWED,generate_sar,1,,,,allowed
2026-02-27T13:23:42.801833,aml-filer,CHECKPOINT,,1,,cp-aml-filer-1,,checkpoint
2026-02-27T13:23:42.801942,aml-filer,BLOCKED,submit_sar,,SAR submission requires human approval (BSA/AML §5318(g)),,,blocked
2026-02-27T13:23:42.802051,aml-monitor,ALLOWED,scan_transaction,4,,,,allowed
2026-02-27T13:23:42.802087,aml-velocity,ALLOWED,check_daily_velocity,3,,,,allowed
2026-02-27T13:23:42.802093,aml-velocity,CHECKPOINT,,3,,cp-aml-velocity-3,,checkpoint
2026-02-27T13:23:42.802123,aml-screener,ALLOWED,screen_ofac,7,,,,allowed
2026-02-27T13:23:42.802158,aml-screener,ALLOWED,screen_country,8,,,,allowed
2026-02-27T13:23:42.802163,aml-screener,CHECKPOINT,,8,,cp-aml-screener-8,,checkpoint
2026-02-27T13:23:42.802211,aml-screener,ALLOWED,screen_pep,9,,,,allowed
2026-02-27T13:23:42.802249,aml-filer,ALLOWED,generate_sar,2,,,,allowed
2026-02-27T13:23:42.802254,aml-filer,CHECKPOINT,,2,,cp-aml-filer-2,,checkpoint
2026-02-27T13:23:42.802315,aml-filer,BLOCKED,submit_sar,,SAR submission requires human approval (BSA/AML §5318(g)),,,blocked
2026-02-27T13:23:42.802406,aml-monitor,ALLOWED,scan_transaction,5,,,,allowed
2026-02-27T13:23:42.802452,aml-monitor,ALLOWED,flag_dormant_activation,6,,,,allowed
2026-02-27T13:23:42.802457,aml-monitor,CHECKPOINT,,6,,cp-aml-monitor-6,,checkpoint
2026-02-27T13:23:42.802496,aml-velocity,ALLOWED,check_daily_velocity,4,,,,allowed
2026-02-27T13:23:42.802534,aml-velocity,ALLOWED,detect_activity_spike,5,,,,allowed
2026-02-27T13:23:42.802561,aml-screener,ALLOWED,screen_ofac,10,,,,allowed
2026-02-27T13:23:42.802566,aml-screener,CHECKPOINT,,10,,cp-aml-screener-10,,checkpoint
2026-02-27T13:23:42.802918,aml-screener,ALLOWED,screen_country,11,,,,allowed
2026-02-27T13:23:42.802943,aml-screener,ALLOWED,screen_pep,12,,,,allowed
2026-02-27T13:23:42.802948,aml-screener,CHECKPOINT,,12,,cp-aml-screener-12,,checkpoint
2026-02-27T13:23:42.803040,aml-monitor,ALLOWED,scan_transaction,7,,,,allowed
2026-02-27T13:23:42.803083,aml-monitor,ALLOWED,flag_round_trip,8,,,,allowed
2026-02-27T13:23:42.805564,aml-velocity,ALLOWED,check_daily_velocity,6,,,,allowed
2026-02-27T13:23:42.805583,aml-velocity,CHECKPOINT,,6,,cp-aml-velocity-6,,checkpoint
2026-02-27T13:23:42.805639,aml-screener,ALLOWED,screen_ofac,13,,,,allowed
2026-02-27T13:23:42.806088,aml-screener,ALLOWED,screen_country,14,,,,allowed
